2-State Environment Evolution Results
====================================

Grid Configuration:
- Width: 10
- Height: 50
- Total cells: 500

Event Count Progression:
Step | Events
756    | 168
757    | 169
758    | 172
759    | 178
760    | 172
761    | 170
762    | 171
763    | 172
764    | 176
765    | 176
766    | 172
767    | 171
768    | 171
769    | 158
770    | 153
771    | 157
772    | 161
773    | 170
774    | 168
775    | 164
776    | 162
777    | 164
778    | 161
779    | 162
780    | 158
781    | 158
782    | 156
783    | 159
784    | 163
785    | 162
786    | 159
787    | 158
788    | 145
789    | 151
790    | 146
791    | 148
792    | 152
793    | 150
794    | 145
795    | 146
796    | 148
797    | 149
798    | 156
799    | 149
800    | 153
801    | 153
802    | 155
803    | 148
804    | 148
805    | 151
806    | 155
807    | 155
808    | 152
809    | 147
810    | 143
811    | 146
812    | 150
813    | 153
814    | 161
815    | 162
816    | 163
817    | 168
818    | 168
819    | 163
820    | 167
821    | 165
822    | 167
823    | 164
824    | 168
825    | 159
826    | 153
827    | 150
828    | 150
829    | 145
830    | 152
831    | 156
832    | 158
833    | 164
834    | 166
835    | 175
836    | 181
837    | 184
838    | 185
839    | 178
840    | 178
841    | 178
842    | 184
843    | 185
844    | 181
845    | 188
846    | 189
847    | 188
848    | 176
849    | 169
850    | 163
851    | 165
852    | 170
853    | 169
854    | 164
855    | 162
856    | 166
857    | 170
858    | 167
859    | 172
860    | 170
861    | 168
862    | 173
863    | 171
864    | 169
865    | 170
866    | 173
867    | 173
868    | 167
869    | 165
870    | 165
871    | 163
872    | 157
873    | 158
874    | 161
875    | 157
876    | 158
877    | 154
878    | 156
879    | 162
880    | 157
881    | 155
882    | 159
883    | 154
884    | 152
885    | 154
886    | 158
887    | 158
888    | 156
889    | 157
890    | 161
891    | 170
892    | 170
893    | 171
894    | 178
895    | 177
896    | 174
897    | 171
898    | 171
899    | 173
900    | 168
901    | 168
902    | 169
903    | 172
904    | 172
905    | 164
906    | 161
907    | 156
908    | 151
909    | 155
910    | 152
911    | 148
912    | 143
913    | 141
914    | 135
915    | 133
916    | 131
917    | 135
918    | 137
919    | 143
920    | 143
921    | 135
922    | 130
923    | 126
924    | 129
925    | 126
926    | 129
927    | 131
928    | 136
929    | 135
930    | 129
931    | 128
932    | 125
933    | 130
934    | 140
935    | 139
936    | 140
937    | 141
938    | 137
939    | 144
940    | 141
941    | 149
942    | 149
943    | 154
944    | 154
945    | 149
946    | 150
947    | 150
948    | 151
949    | 152
950    | 153
951    | 155
952    | 154
953    | 152
954    | 149
955    | 150
956    | 153
957    | 151
958    | 160
959    | 161
960    | 161
961    | 155
962    | 159
963    | 162
964    | 154
965    | 155
966    | 154
967    | 152
968    | 154
969    | 154
970    | 158
971    | 153
972    | 152
973    | 145
974    | 142
975    | 147
976    | 143
977    | 139
978    | 140
979    | 139
980    | 143
981    | 142
982    | 143
983    | 141
984    | 143
985    | 147
986    | 146
987    | 150
988    | 149
989    | 155
990    | 155
991    | 160
992    | 155
993    | 154
994    | 157
995    | 160
996    | 167
997    | 169
998    | 167
999    | 164
1000    | 159

Statistics:
- Total simulation steps: 1001
- Maximum events: 200
- Minimum events: 1
- Average events: 145.87

Peak events at step 296: 200
Minimum events at step 0: 1

Spatial Pattern Analysis:
Step 0: Q1=0, Q2=1, Q3=0, Q4=0
Step 499: Q1=38, Q2=46, Q3=40, Q4=40
Step 1000: Q1=43, Q2=42, Q3=40, Q4=34

Final State Grid:
Final State: 159 events
=======================

    1 2 3 4 5 6 7 8 910
 1  □ □ ■ □ □ ■ □ □ □ □
 2  ■ □ □ □ ■ □ ■ □ □ □
 3  □ □ ■ ■ ■ □ □ □ □ ■
 4  □ □ □ ■ □ □ □ □ ■ □
 5  ■ ■ □ □ □ □ □ □ □ □
 6  □ ■ □ ■ □ □ ■ ■ ■ □
 7  ■ □ □ □ □ ■ □ □ ■ □
 8  □ □ □ □ ■ □ ■ ■ □ □
 9  □ ■ □ □ □ ■ □ □ □ □
10  ■ □ □ □ □ □ □ □ □ □
11  □ □ ■ □ □ ■ □ □ □ □
12  □ ■ □ ■ □ ■ □ ■ □ □
13  □ □ □ □ ■ ■ ■ □ □ □
14  □ □ ■ □ ■ ■ ■ □ ■ □
15  □ ■ ■ □ ■ □ ■ □ ■ □
16  □ □ □ □ □ ■ ■ ■ ■ □
17  □ ■ □ □ ■ □ □ □ □ □
18  ■ □ ■ ■ □ ■ ■ □ ■ □
19  □ ■ ■ □ □ □ ■ □ □ ■
20  □ ■ □ ■ □ □ □ ■ □ □
21  □ □ □ □ ■ ■ □ ■ ■ ■
22  □ □ ■ ■ ■ □ □ □ ■ □
23  □ □ □ ■ □ □ ■ ■ □ □
24  □ □ □ □ □ ■ ■ □ □ □
25  ■ ■ ■ ■ ■ □ ■ □ □ □
26  □ ■ ■ ■ □ □ □ ■ □ □
27  □ ■ ■ ■ ■ □ ■ □ □ □
28  □ □ □ ■ □ □ ■ □ □ □
29  □ ■ □ ■ □ □ □ □ □ □
30  □ □ □ □ □ ■ □ □ □ □
31  □ □ □ □ □ □ □ □ □ □
32  □ □ □ □ □ □ ■ □ □ □
33  □ □ ■ □ □ □ ■ □ □ □
34  □ □ ■ ■ □ □ ■ ■ □ □
35  ■ ■ ■ ■ □ □ ■ ■ ■ □
36  ■ ■ ■ □ □ □ □ ■ □ □
37  ■ ■ □ □ □ □ □ □ □ □
38  □ ■ □ □ ■ □ □ □ □ □
